Source,Target,Association
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/END_MP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/ROW_OWNER,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/FREIGHT_OP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/SUBDIVISIO,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/SHRTLN_NAM,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/SHRTLN_COD,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/PASS_OP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/PASS_NETWO,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/COMM_OP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/COMM_NETWO,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/RECR_OP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/RECR_NETWO,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/STATUS,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/RR_CLSS,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/TRK_CLSS,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/PASS_SPEED,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/FRT_SPEED,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/FRT_DNS,esri.arcgis.custom.LayerContainsField
